period,sku,component,unit_cost,qty_per_unit,units_produced,yield_pct,revenue,total_cogs
2025-Q1,SKU-001,Main PCB Assembly,48.50,1,1200,91.5,1440000,985000
2025-Q1,SKU-001,Enclosure - Aluminum,22.00,1,1200,91.5,1440000,985000
2025-Q1,SKU-001,Battery Pack,31.00,1,1200,91.5,1440000,985000
2025-Q1,SKU-001,Sensor Module,18.75,2,1200,91.5,1440000,985000
2025-Q1,SKU-001,Firmware / NRE Amortization,8.00,1,1200,91.5,1440000,985000
2025-Q1,SKU-001,CM Labor & Overhead,14.00,1,1200,91.5,1440000,985000
2025-Q1,SKU-001,Test & Calibration,9.50,1,1200,91.5,1440000,985000
2025-Q1,SKU-001,Packaging & Logistics,6.25,1,1200,91.5,1440000,985000
2025-Q2,SKU-001,Main PCB Assembly,46.20,1,1800,93.0,2268000,1390000
2025-Q2,SKU-001,Enclosure - Aluminum,21.50,1,1800,93.0,2268000,1390000
2025-Q2,SKU-001,Battery Pack,30.00,1,1800,93.0,2268000,1390000
2025-Q2,SKU-001,Sensor Module,17.90,2,1800,93.0,2268000,1390000
2025-Q2,SKU-001,Firmware / NRE Amortization,6.00,1,1800,93.0,2268000,1390000
2025-Q2,SKU-001,CM Labor & Overhead,13.20,1,1800,93.0,2268000,1390000
2025-Q2,SKU-001,Test & Calibration,9.00,1,1800,93.0,2268000,1390000
2025-Q2,SKU-001,Packaging & Logistics,5.80,1,1800,93.0,2268000,1390000
